5080
1;4;3680;74;26;5;4;4;4;3
61;4;3592;87;1611;151;4;257;257;15
121;4;3432;126;3253;179;4;505;505;29
181;3;3456;114;4871;206;4;760;760;42
241;4;3568;87;6452;270;4;1016;1016;56
301;3;3592;75;8105;346;4;1268;1268;70
361;4;3616;87;9631;416;4;1516;1516;83
421;4;3568;87;11337;494;4;1768;1768;98
481;4;3584;87;12949;568;4;2017;2017;111
541;4;3576;87;14638;646;4;2275;2275;126
601;3;3584;75;16207;720;4;2528;2528;138
661;4;3584;87;17825;795;4;2781;2781;153
721;4;3576;87;19481;871;4;3030;3030;165
781;4;3592;87;21108;946;4;3281;3281;180
841;4;3592;87;22697;1020;4;3528;3528;193
901;4;3584;87;24338;1097;4;3781;3781;206
961;3;3464;114;25941;1128;4;4030;4030;220
1021;4;3424;126;27674;1157;4;4285;4285;236
1081;3;3432;114;29248;1183;4;4534;4534;248
1141;2;3440;102;30890;1210;4;4785;4784;262
1201;4;3608;87;32609;1265;4;5036;5035;279
1261;4;3592;87;34180;1338;4;5283;5282;290
1321;3;3600;75;35809;1413;4;5538;5537;305
1381;4;3576;87;37423;1487;4;5788;5787;319
1441;4;3440;126;39063;1527;4;6039;6038;333
1501;3;3424;114;40633;1553;4;6293;6292;345
1561;4;3464;126;42286;1580;4;6542;6541;358
1621;3;3440;114;43821;1605;4;6794;6793;371
1681;4;3432;126;45399;1631;4;7045;7044;385
1741;3;3464;114;47051;1658;4;7296;7295;399
1801;4;3480;126;48676;1685;4;7552;7551;414
1861;4;3440;126;50324;1712;4;7801;7800;428
1921;4;3440;126;51964;1739;4;8054;8053;442
1981;4;3464;126;53553;1765;4;8305;8304;455
2041;3;3456;114;55179;1792;4;8556;8555;467
2101;4;3440;126;56932;1821;4;8812;8811;482
2161;3;3608;75;58524;1866;4;9060;9059;496
2221;4;3624;87;60135;1941;4;9311;9310;509
2281;4;3608;87;61834;2020;4;9567;9566;524
2341;4;3576;87;63417;2093;4;9816;9815;537
2401;4;3432;126;64993;2125;4;10070;10069;550
2461;3;3456;114;66621;2152;4;10321;10320;563
2521;4;3440;126;68186;2178;4;10571;10570;578
